Image,mean_l,mean_a,mean_b,std_l,std_a,std_b,skew_l,skew_a,skew_b,label
ACQ1,19.488842135033146,4.36185704122305,1.9368603666366186,35.21818442351891,7.8245389085562795,4.036214545169335,1.2899215027555362,1.5131225724436377,2.2224000997300233,abnormal
ACR1,23.812815872621133,3.416438279213182,0.8100469472437906,39.33763070010499,5.967681291125626,2.5596358816257756,1.0710258562486263,1.5596842381562366,1.4487554699274485,normal
ACS1,29.980689038208876,8.476332809462066,-4.437880674629137,41.034283764666526,12.219337306460323,6.684690867338159,0.6591496104624008,0.9615331035809693,-1.049327218849506,abnormal
ACT1,24.28923892010638,1.693927521650962,-0.7755585747341456,40.041266514191456,3.608228561924051,3.6208688501918074,1.0690879987304278,2.054915587054277,-1.8205644376129926,abnormal
ACU1,25.151402777410865,1.526821032899931,0.004295729108150933,41.751080967298755,3.4489880524797605,2.6822867353021094,1.0781893328660126,2.497232893440021,0.5777727108317632,abnormal
ACV1,5.441255573920402,0.6619698278032884,0.18590323900627342,20.784271539907557,2.354178341942691,0.9732348101208308,3.7036046056730467,4.439232168251952,5.46265636219328,normal
ACW1,24.566767822892555,2.008228311586214,0.8317858209009986,40.647557350777625,3.6522349123723123,1.8737131182524216,1.0818622734357486,1.7503783067019825,2.628133621453999,abnormal
ACX1,19.98996165989009,4.850080821585531,-0.719267033449316,35.715997387793045,8.692727026832296,2.147375346608049,1.2743825415868206,1.6156944865873968,-2.309323322319445,abnormal
ACY1,15.834724584312745,1.6248484860122794,0.5690823817312202,34.33581481371357,3.9471926894282534,2.6564708124675747,1.7459052052159183,2.8292898753959936,2.689734287529928,normal
ACZ1,17.188118903841378,1.9792607398492088,0.08533601968021459,35.290936873488384,4.250313170624519,0.9672658115197649,1.608171800228807,2.1560128953935047,0.3126183850690533,abnormal
ADA1,22.30645940252752,2.5901074712168706,-1.7025038033638429,37.363439430985544,5.1645806470765,3.493054474910287,1.1043385965488521,2.0474959126131567,-2.110516179781247,abnormal
ADB1,21.932699186441543,4.339686994932555,-1.137541780080982,37.95769297221946,7.98215420790985,3.672557650050464,1.1787546167269332,1.5949425536326556,-1.8019525588247338,abnormal
ADC1,31.898647126835147,0.2872669943586909,8.435512171706407,43.22680175856908,3.2071827342427683,12.300966787770466,0.644018811992679,-0.35970941570089204,1.0314015126121734,abnormal
ADD1,18.693850829132135,1.1549857808431625,0.16092600442716462,37.02551602124665,2.5044770080990983,1.7987867444415073,1.5262901316591257,2.7241922635726623,1.5981797230406094,abnormal
ADE1,22.510431819305808,1.1786738025090315,3.3458398998837358,39.28767038362171,3.009662151248236,6.761007054912276,1.2031092698614247,1.7700626479100403,1.8909083970072662,abnormal
ADF1,21.497969466619143,3.06548157810889,-0.24506976967627528,38.3348291930628,6.056222127809097,1.6547028367340448,1.246223102696101,1.8057141319558023,-2.4058490923393516,abnormal
ADH1,24.69032054135453,0.5662879709843439,0.8010598887187316,41.867410172869974,1.810790434376526,2.2715156009394772,1.1308093352410509,3.0384936432482976,3.388675054802732,abnormal
ADI1,8.044029354840909,0.6963691751244834,0.13188075871392468,25.71077819875412,2.616114732625607,0.6754181596953437,2.959472476745823,4.721451782946807,4.700366349442204,normal
ADJ1,28.701674586498754,2.9020610588614693,-0.08583571229908593,42.3978237893495,4.616267550700181,1.7677004269850574,0.8213429493757431,1.396488266748324,-0.41392970133794615,abnormal
ADK1,12.672354723961153,4.409310096678789,1.7865994640801526,28.770142904512404,9.789953960517446,4.3670085163100785,1.8748536832411546,1.9714472131770102,2.5604302591072665,normal
ADL1,11.523637412503678,0.8803073628526454,0.3466125117407705,29.990243536793166,2.1368212921838032,1.1672036343515173,2.293914261710159,2.953978784795007,4.2710346887696335,normal
